Day,Casual_Resets,Casual_Points,Casual_ZenBalance,Casual_GrossZen,Casual_DiscardedZen,Casual_Jewels,Hardcore_Resets,Hardcore_Points,Hardcore_ZenBalance,Hardcore_GrossZen,Hardcore_DiscardedZen,Hardcore_Jewels,Nolife_Resets,Nolife_Points,Nolife_ZenBalance,Nolife_GrossZen,Nolife_DiscardedZen,Nolife_Jewels
38,34,36550,917542025,4601680438,1650458431,20.9,36,40500,781397379,12883126757,8822397944,82.7,36,40500,522997379,23094868464,19034139651,163.6
39,34,36550,917542025,4601680438,1650458431,20.9,36,40500,774597379,13151856802,9091127989,84.8,36,40500,509397379,23632328554,19571599741,167.8
40,34,36550,917542025,4601680438,1650458431,20.9,36,40500,767797379,13420586847,9359858034,86.9,36,40500,495797379,24169788643,20109059830,172.1
41,34,36550,917542025,4601680438,1650458431,20.9,36,40500,760997379,13689316892,9628588079,89.1,36,40500,482197379,24707248733,20646519920,176.3
42,34,36550,917542025,4601680438,1650458431,20.9,36,40500,754197379,13958046937,9897318124,91.2,36,40500,468597379,25244708823,21183980010,180.6
43,34,36550,917542025,4601680438,1650458431,20.9,36,40500,747397379,14226776982,10166048169,93.3,36,40500,454997379,25782168913,21721440100,184.8
44,34,36550,917542025,4601680438,1650458431,20.9,36,40500,740597379,14495507027,10434778214,95.5,36,40500,441397379,26319629003,22258900190,189.1
45,34,36550,917542025,4601680438,1650458431,20.9,36,40500,733797379,14764237072,10703508259,97.6,36,40500,427797379,26857089093,22796360280,193.3
46,34,36550,917542025,4601680438,1650458431,20.9,36,40500,726997379,15032967116,10972238303,99.7,36,40500,414197379,27394549182,23333820369,197.6
47,34,36550,917542025,4601680438,1650458431,20.9,36,40500,720197379,15301697161,11240968348,101.8,36,40500,400597379,27932009272,23871280459,201.9
48,34,36550,917542025,4601680438,1650458431,20.9,36,40500,713397379,15570427206,11509698393,104.0,36,40500,386997379,28469469362,24408740549,206.1
49,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,706597379,15839157251,11778428438,106.1,36,40500,373397379,29006929452,24946200639,210.4
50,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,699797379,16107887296,12047158483,108.2,36,40500,359797379,29544389542,25483660729,214.6
51,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,692997379,16376617341,12315888528,110.4,36,40500,346197379,30081849632,26021120819,218.9
52,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,686197379,16645347386,12584618573,112.5,36,40500,332597379,30619309721,26558580908,223.1
53,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,679397379,16914077431,12853348618,114.6,36,40500,318997379,31156769811,27096040998,227.4
54,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,672597379,17182807476,13122078663,116.7,36,40500,305397379,31694229901,27633501088,231.6
55,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,665797379,17451537521,13390808708,118.9,36,40500,291797379,32231689991,28170961178,235.9
56,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,658997379,17720267566,13659538753,121.0,36,40500,278197379,32769150081,28708421268,240.2
57,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,652197379,17988997610,13928268797,123.1,36,40500,264597379,33306610170,29245881357,244.4
58,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,645397379,18257727655,14196998842,125.2,36,40500,250997379,33844070260,29783341447,248.7
59,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,638597379,18526457700,14465728887,127.4,36,40500,237397379,34381530350,30320801537,252.9
60,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,631797379,18795187745,14734458932,129.5,36,40500,223797379,34918990440,30858261627,257.2
61,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,624997379,19063917790,15003188977,131.6,36,40500,210197379,35456450530,31395721717,261.4
62,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,618197379,19332647835,15271919022,133.8,36,40500,196597379,35993910620,31933181807,265.7
63,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,611397379,19601377880,15540649067,135.9,36,40500,182997379,36531370709,32470641896,270.0
64,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,604597379,19870107925,15809379112,138.0,36,40500,169397379,37068830799,33008101986,274.2
65,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,597797379,20138837970,16078109157,140.1,36,40500,155797379,37606290889,33545562076,278.5
66,36,40500,984063970,7105430792,2988235388,36.9,36,40500,590997379,20407568015,16346839202,142.3,36,40500,142197379,38143750979,34083022166,282.7
67,36,40500,1049546481,7172613303,2988235388,37.5,36,40500,584197379,20676298060,16615569247,144.4,36,40500,128597379,38681211069,34620482256,287.0
68,36,40500,1115028992,7239795814,2988235388,38.0,36,40500,577397379,20945028105,16884299292,146.5,36,40500,114997379,39218671159,35157942346,291.2
69,36,40500,1180511503,7306978325,2988235388,38.5,36,40500,570597379,21213758149,17153029336,148.7,36,40500,101397379,39756131248,35695402435,295.5
70,36,40500,1245994014,7374160836,2988235388,39.1,36,40500,563797379,21482488194,17421759381,150.8,36,40500,87797379,40293591338,36232862525,299.7
71,36,40500,1311476526,7441343348,2988235388,39.6,36,40500,556997379,21751218239,17690489426,152.9,36,40500,74197379,40831051428,36770322615,304.0
72,36,40500,1376959037,7508525859,2988235388,40.1,36,40500,550197379,22019948284,17959219471,155.0,36,40500,60597379,41368511518,37307782705,308.3
73,36,40500,1442441548,7575708370,2988235388,40.7,36,40500,543397379,22288678329,18227949516,157.2,36,40500,46997379,41905971608,37845242795,312.5
74,36,40500,1507924059,7642890881,2988235388,41.2,36,40500,536597379,22557408374,18496679561,159.3,36,40500,33397379,42443431697,38382702884,316.8
75,36,40500,1573406571,7710073393,2988235388,41.7,36,40500,529797379,22826138419,18765409606,161.4,36,40500,19797379,42980891787,38920162974,321.0
76,36,40500,1638889082,7777255904,2988235388,42.3,36,40500,522997379,23094868464,19034139651,163.6,36,40500,6197379,43518351877,39457623064,325.3
77,36,40500,1704371593,7844438415,2988235388,42.8,36,40500,516197379,23363598509,19302869696,165.7,36,40500,929026221,44055811967,39995083154,329.5
78,36,40500,1769854104,7911620926,2988235388,43.3,36,40500,509397379,23632328554,19571599741,167.8,36,40500,929026221,44593272057,40532543244,333.8
79,36,40500,1835336615,7978803437,2988235388,43.9,36,40500,502597379,23901058599,19840329786,169.9,36,40500,929026221,45130732147,41070003334,338.0
80,36,40500,1900819127,8045985949,2988235388,44.4,36,40500,495797379,24169788643,20109059830,172.1,36,40500,929026221,45668192236,41607463423,342.3
81,36,40500,1966301638,8113168460,2988235388,44.9,36,40500,488997379,24438518688,20377789875,174.2,36,40500,929026221,46205652326,42144923513,346.6
82,36,40500,2031784149,8180350971,2988235388,45.4,36,40500,482197379,24707248733,20646519920,176.3,36,40500,929026221,46743112416,42682383603,350.8
83,36,40500,2097266660,8247533482,2988235388,46.0,36,40500,475397379,24975978778,20915249965,178.4,36,40500,929026221,47280572506,43219843693,355.1
84,36,40500,896997379,8314715994,4253987181,46.5,36,40500,468597379,25244708823,21183980010,180.6,36,40500,929026221,47818032596,43757303783,359.3
85,36,40500,895297379,8381898505,4321169692,47.0,36,40500,461797379,25513438868,21452710055,182.7,36,40500,929026221,48355492686,44294763873,363.6
86,36,40500,893597379,8449081016,4388352203,47.6,36,40500,454997379,25782168913,21721440100,184.8,36,40500,929026221,48892952775,44832223962,367.8
87,36,40500,891897379,8516263527,4455534714,48.1,36,40500,448197379,26050898958,21990170145,187.0,36,40500,929026221,49430412865,45369684052,372.1
88,36,40500,890197379,8583446039,4522717226,48.6,36,40500,441397379,26319629003,22258900190,189.1,36,40500,929026221,49967872955,45907144142,376.4
89,36,40500,888497379,8650628550,4589899737,49.2,36,40500,434597379,26588359048,22527630235,191.2,36,40500,929026221,50505333045,46444604232,380.6
90,36,40500,886797379,8717811061,4657082248,49.7,36,40500,427797379,26857089093,22796360280,193.3,36,40500,929026221,51042793135,46982064322,384.9
